url,people,rate,type
https://leetcode.cn/problems/replace-elements-with-greatest-element-on-right-side,577,0.761,easy
https://leetcode.cn/problems/find-the-team-size,179,0.826,easy
https://leetcode.cn/problems/find-n-unique-integers-sum-up-to-zero,512,0.702,easy
https://leetcode.cn/problems/decrypt-string-from-alphabet-to-integer-mapping,498,0.767,easy
https://leetcode.cn/problems/decompress-run-length-encoded-list,668,0.832,easy
https://leetcode.cn/problems/convert-integer-to-the-sum-of-two-no-zero-integers,268,0.62,easy
https://leetcode.cn/problems/ads-performance,102,0.596,easy
https://leetcode.cn/problems/maximum-69-number,678,0.749,easy
https://leetcode.cn/problems/list-the-products-ordered-in-a-period,149,0.681,easy
https://leetcode.cn/problems/rank-transform-of-an-array,546,0.604,easy
https://leetcode.cn/problems/remove-palindromic-subsequences,386,0.779,easy
https://leetcode.cn/problems/the-k-weakest-rows-in-a-matrix,936,0.685,easy
https://leetcode.cn/problems/number-of-steps-to-reduce-a-number-to-zero,1686,0.755,easy
https://leetcode.cn/problems/check-if-n-and-its-double-exist,569,0.419,easy
https://leetcode.cn/problems/students-with-invalid-departments,113,0.846,easy
https://leetcode.cn/problems/count-negative-numbers-in-a-sorted-matrix,846,0.744,easy
https://leetcode.cn/problems/sort-integers-by-the-number-of-1-bits,705,0.736,easy
https://leetcode.cn/problems/number-of-days-between-two-dates,253,0.516,easy
https://leetcode.cn/problems/how-many-numbers-are-smaller-than-the-current-number,1353,0.823,easy
https://leetcode.cn/problems/increasing-decreasing-string,678,0.79,easy
https://leetcode.cn/problems/generate-a-string-with-characters-that-have-odd-counts,564,0.777,easy
https://leetcode.cn/problems/replace-employee-id-with-the-unique-identifier,166,0.827,easy
https://leetcode.cn/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,270,0.829,easy
https://leetcode.cn/problems/lucky-numbers-in-a-matrix,773,0.76,easy
https://leetcode.cn/problems/find-the-distance-value-between-two-arrays,533,0.646,easy
https://leetcode.cn/problems/create-target-array-in-the-given-order,602,0.828,easy
https://leetcode.cn/problems/find-lucky-integer-in-an-array,454,0.662,easy
https://leetcode.cn/problems/count-largest-group,223,0.668,easy
https://leetcode.cn/problems/minimum-subsequence-in-non-increasing-order,779,0.734,easy
https://leetcode.cn/problems/top-travellers,305,0.563,easy
https://leetcode.cn/problems/string-matching-in-an-array,579,0.644,easy
https://leetcode.cn/problems/minimum-value-to-get-positive-step-by-step-sum,722,0.731,easy
https://leetcode.cn/problems/reformat-the-string,636,0.551,easy
https://leetcode.cn/problems/npv-queries,53,0.716,easy
https://leetcode.cn/problems/maximum-score-after-splitting-a-string,732,0.569,easy
https://leetcode.cn/problems/counting-elements,94,0.682,easy
https://leetcode.cn/problems/perform-string-shifts,163,0.58,easy
